Campaign_ID,Channel,Region,Target_Audience,Budget 
CAM001,YouTube ,,,35725
CAM002,TikTok ,Australia,EV Owners ,48030
CAM003,TikTok ,Australia,Tech-Savvy ,37730
CAM004,Twitter ,Europe,Tech-Savvy ,35377
CAM005,LinkedIn ,Europe,Millennials ,27763
CAM006,LinkedIn ,Europe,EV Owners ,43766
CAM007,YouTube ,Asia,Tech-Savvy ,42241
CAM008,YouTube ,Europe,Millennials ,20096
CAM009,TikTok ,Europe,Millennials ,43166
CAM010,Instagram ,Australia,EV Owners ,25664
CAM011,Instagram ,Europe,Gen Z ,53710
CAM012,YouTube ,Australia,EV Owners ,20111
CAM013,LinkedIn ,Europe,EV Owners ,56249
CAM014,YouTube ,Australia,Tech-Savvy ,37747
CAM015,Instagram ,Europe,Millennials ,55662
CAM016,Instagram ,Asia,EV Owners ,23325
CAM017,TikTok ,Asia,Tech-Savvy ,51140
CAM018,Twitter ,Australia,Gen Z ,34944
CAM019,TikTok ,Europe,Tech-Savvy ,37476
CAM020,LinkedIn ,Asia,Gen Z ,27985
CAM021,Twitter ,,Tech-Savvy ,46626
CAM022,TikTok ,Australia,Tech-Savvy ,26484
CAM023,TikTok ,Asia,Gen Z ,37730
CAM024,YouTube ,Europe,EV Owners ,50255
CAM025,Twitter ,North America,Gen Z ,26648
CAM026,TikTok ,Australia,,42461
CAM027,TikTok ,Europe,EV Owners ,43728
CAM028,TikTok ,North America,Tech-Savvy ,37543
CAM029,Instagram ,Asia,Gen Z ,24195
CAM030,Instagram ,North America,EV Owners ,22428
CAM031,TikTok ,Europe,Tech-Savvy ,28028
CAM032,YouTube ,Europe,Millennials ,23252
CAM033,Twitter ,Australia,EV Owners ,37766
CAM034,LinkedIn ,Asia,Tech-Savvy ,48513
CAM035,Twitter ,North America,EV Owners ,31894
CAM036,YouTube ,Asia,Tech-Savvy ,49534
CAM037,Twitter ,Australia,Millennials ,50107
CAM038,TikTok ,Asia,EV Owners ,22338
CAM039,YouTube ,North America,Tech-Savvy ,36972
CAM040,YouTube ,Asia,Tech-Savvy ,40355
CAM041,LinkedIn ,,Gen Z ,32394
CAM042,Twitter ,Europe,Millennials ,22624
CAM043,Instagram ,North America,Gen Z ,21442
CAM044,LinkedIn ,Australia,Gen Z ,29018
CAM045,LinkedIn ,Australia,EV Owners ,29610
CAM046,LinkedIn ,Europe,EV Owners ,34029
CAM047,YouTube ,North America,Millennials ,43012
CAM048,TikTok ,Australia,EV Owners ,35631
CAM049,Twitter ,Europe,Gen Z ,43531
CAM050,LinkedIn ,Asia,EV Owners ,29981
CAM051,Twitter ,Australia,,50878
CAM052,LinkedIn ,Australia,Millennials ,44134
CAM053,LinkedIn ,Asia,Tech-Savvy ,37773
CAM054,Twitter ,Australia,Tech-Savvy ,44947
CAM055,LinkedIn ,Europe,Millennials ,30960
CAM056,Twitter ,North America,Gen Z ,23316
CAM057,YouTube ,Asia,EV Owners ,40839
CAM058,LinkedIn ,North America,Tech-Savvy ,48619
CAM059,TikTok ,Asia,Gen Z ,28747
CAM060,Instagram ,Europe,Tech-Savvy ,56026
CAM061,TikTok ,,EV Owners ,28887
CAM062,Twitter ,Asia,Millennials ,26578
CAM063,YouTube ,North America,Gen Z ,27992
CAM064,Instagram ,Asia,Tech-Savvy ,54097
CAM065,YouTube ,Europe,Tech-Savvy ,24626
CAM066,YouTube ,Asia,Millennials ,29729
CAM067,LinkedIn ,North America,EV Owners ,34387
CAM068,Twitter ,North America,Tech-Savvy ,57804
CAM069,TikTok ,Asia,EV Owners ,52629
CAM070,Twitter ,Asia,Gen Z ,44297
CAM071,Twitter ,Australia,Gen Z ,50000
CAM072,LinkedIn ,Europe,EV Owners ,46587
CAM073,YouTube ,Europe,Millennials ,28534
CAM074,TikTok ,North America,Millennials ,22521
CAM075,Instagram ,North America,Gen Z ,48263
CAM076,LinkedIn ,Europe,,29705
CAM077,TikTok ,North America,Tech-Savvy ,25474
CAM078,YouTube ,Asia,Millennials ,26027
CAM079,TikTok ,North America,Millennials ,49427
CAM080,YouTube ,Europe,Tech-Savvy ,47640
CAM081,Instagram ,,EV Owners ,29438
CAM082,Twitter ,Asia,EV Owners ,34601
CAM083,LinkedIn ,Europe,Millennials ,37495
CAM084,LinkedIn ,Asia,Tech-Savvy ,53990
CAM085,TikTok ,North America,Gen Z ,59052
CAM086,YouTube ,North America,Gen Z ,53206
CAM087,Twitter ,Australia,EV Owners ,55355
CAM088,Instagram ,Australia,Tech-Savvy ,31046
CAM089,LinkedIn ,Australia,Millennials ,32221
CAM090,Twitter ,Europe,Gen Z ,40298
CAM091,Instagram ,Asia,EV Owners ,45443
CAM092,Instagram ,Australia,EV Owners ,40084
CAM093,LinkedIn ,Asia,EV Owners ,22863
CAM094,Twitter ,Australia,Gen Z ,54437
CAM095,Twitter ,North America,Gen Z ,51080
CAM096,Twitter ,North America,EV Owners ,29325
CAM097,TikTok ,Europe,EV Owners ,57974
CAM098,TikTok ,Australia,Tech-Savvy ,24142
CAM099,Instagram ,Asia,Millennials ,34632
CAM100,Twitter ,Europe,EV Owners ,48057
CAM007,Instagram ,,,23997
CAM035,TikTok ,Europe,Millennials ,52129
CAM012,YouTube ,Asia,Millennials ,37363
CAM099,YouTube ,Australia,Millennials ,45412
CAM053,YouTube ,Asia,Millennials ,51646
